ID,Process ID,Process Name,Host Name,Kernel Name,Context,Stream,Block Size,Grid Size,Device,CC,Section Name,Metric Name,Metric Unit,Metric Value,Rule Name,Rule Type,Rule Description,Estimated Speedup Type,Estimated Speedup
0,45327,vectorAdd,127.0.0.1,"vectorAdd(const float *, const float *, float *)",1,7,"(1, 1, 1)","(1024, 1, 1)",0,7.5,GPU Speed Of Light Throughput,DRAM Frequency,cycle/second,"5,818,181,818.18",,,,,
0,45327,vectorAdd,127.0.0.1,"vectorAdd(const float *, const float *, float *)",1,7,"(1, 1, 1)","(1024, 1, 1)",0,7.5,GPU Speed Of Light Throughput,SM Frequency,cycle/second,"1,350,674,715.91",,,,,
0,45327,vectorAdd,127.0.0.1,"vectorAdd(const float *, const float *, float *)",1,7,"(1, 1, 1)","(1024, 1, 1)",0,7.5,GPU Speed Of Light Throughput,Elapsed Cycles,cycle,"7,637",,,,,
0,45327,vectorAdd,127.0.0.1,"vectorAdd(const float *, const float *, float *)",1,7,"(1, 1, 1)","(1024, 1, 1)",0,7.5,GPU Speed Of Light Throughput,Memory Throughput,%,7.69,,,,,
0,45327,vectorAdd,127.0.0.1,"vectorAdd(const float *, const float *, float *)",1,7,"(1, 1, 1)","(1024, 1, 1)",0,7.5,GPU Speed Of Light Throughput,DRAM Throughput,%,0.80,,,,,
0,45327,vectorAdd,127.0.0.1,"vectorAdd(const float *, const float *, float *)",1,7,"(1, 1, 1)","(1024, 1, 1)",0,7.5,GPU Speed Of Light Throughput,Duration,nsecond,"5,632",,,,,
0,45327,vectorAdd,127.0.0.1,"vectorAdd(const float *, const float *, float *)",1,7,"(1, 1, 1)","(1024, 1, 1)",0,7.5,GPU Speed Of Light Throughput,L1/TEX Cache Throughput,%,13.97,,,,,
0,45327,vectorAdd,127.0.0.1,"vectorAdd(const float *, const float *, float *)",1,7,"(1, 1, 1)","(1024, 1, 1)",0,7.5,GPU Speed Of Light Throughput,L2 Cache Throughput,%,5.51,,,,,
0,45327,vectorAdd,127.0.0.1,"vectorAdd(const float *, const float *, float *)",1,7,"(1, 1, 1)","(1024, 1, 1)",0,7.5,GPU Speed Of Light Throughput,SM Active Cycles,cycle,"4,188.93",,,,,
0,45327,vectorAdd,127.0.0.1,"vectorAdd(const float *, const float *, float *)",1,7,"(1, 1, 1)","(1024, 1, 1)",0,7.5,GPU Speed Of Light Throughput,Compute (SM) Throughput,%,7.69,,,,,
0,45327,vectorAdd,127.0.0.1,"vectorAdd(const float *, const float *, float *)",1,7,"(1, 1, 1)","(1024, 1, 1)",0,7.5,SpeedOfLight,,,,SOLBottleneck,OPT,This kernel exhibits low compute throughput and memory bandwidth utilization relative to the peak performance of this device. Achieved compute throughput and/or memory bandwidth below 60.0% of peak typically indicate latency issues. Look at Scheduler Statistics and Warp State Statistics for potential reasons.,,
